LAUNCH_ID,PAYLOAD_ORG_CODE
6218,AFCRL
6222,WRE
6225,AFCRL
6226,SAND
6227,SAND
6228,PSU
6233,AFCRL
6235,PSU
6239,AFCRL
6240,AFCRL
6241,AFCRL
6242,PSU
6246,LARC
6248,AFCRL
6253,SAND
6254,SAND
6255,SAND
6257,AN
6258,AFCRL
6259,AFCRL
6261,NOTS
6265,USAF
6266,SMSA
6267,WSMR
6268,BRL
6269,PMR
6270,PMR
6271,PMR
6272,PMR
6273,PMR
6274,PMR
6275,PMR
6276,PMR
6277,PMR
6278,PMR
6279,PMR
6280,PMR
6281,SMSA
6282,AFCRL
6283,SMSA
6346,LARC
6348,LARC
6350,GSFC
6375,GCA
6389,LARC
6404,GSFC
6421,GSFC
6424,NSA
6425,NOTS
6442,LARC
6449,GSFC
6462,GCA
6474,LARC
6478,KOBE
6480,AFCRL
6481,GSFC
6483,BRL
6486,LARC
6496,LARC
6500,LARC
6506,LARC
6509,NOTS
6514,WSMR
6543,ISAS
6544,ISAS
6547,LARC
6558,LUX
6558,RAE
6558,UCW
6560,GCA
6574,ISAS
6576,PMR
6577,PMR
6578,PMR
6579,PMR
6580,PMR
6581,PMR
6582,PMR
6583,PMR
6585,GOYR
6585,WADD
6587,GOYR
6587,WADD
6588,USN
6589,NASA
6590,USN
6591,WSMR
6592,ATLA
6596,USA
6598,USA
6600,USA
6601,USA
6602,USA
6603,USA
6604,USA
6605,WRE
6606,WRE
6607,WRE
6622,GSFC
6624,SIMED
6625,UMI
6628,CNRS
6628,LPA
6642,UMI
6646,AFCRL
6648,LARC
6667,UMI
6694,AEC
6697,FRC
6698,AEC
6699,FRC
6705,NMSU
6707,AEC
6709,GSFC
6710,SAND
6711,SAND
6712,SAND
6714,AFCRL
6718,GSFC
6719,GSFC
6720,KOBE
6721,UMI
6725,ATLA
6726,ATLA
6727,PMR
6728,PMR
6729,NMSU
6730,NMSU
6731,NMSU
6732,AFCRL
6733,WRE
6734,WRE
6735,LARC
6736,WSMR
6737,AFSWC
6738,NMC
6742,NSA
6746,AFCRL
6747,CARDE
6748,GCA
6749,GSFC
6751,NRL
6752,GSFC
6754,CARDE
6759,LARC
6764,NRL
6765,GSFC
6769,CNRS
6770,AN
6771,NRL
6772,LARC
6773,UMI
6774,CNRS
6775,QUB
6776,CNRS
6777,AFCRL
6777,UMD
6778,ICST
6778,RAE
6780,CNRS
6785,AN
6786,FIAN
6789,GSFC
6790,LARC
6791,AFCRL
6792,AFCRL
6793,NRL
6794,AFCRL
6795,AFCRL
6798,AFCRL
6798,UMD
6806,AFCRL
6807,LARC
6814,GSFC
6815,ISAS
6819,AFCRL
6820,BRL
6821,BRL
6822,AFCRL
6824,AN
6825,AFCRL
6826,ISAS
6826,RRL
6828,AFCRL
6830,AEC
6834,AFCRL
6835,AFCRL
6836,GSFC
6837,AFCRL
6839,GSFC
6842,AFCRL
6843,ICST
6843,RAE
6843,UCL
6845,AFCRL
6847,AFCRL
6851,AFCRL
6852,WRE
6854,AFCRL
6855,AFCRL
6860,DRTE
6860,GSFC
6860,NRL
6865,AFCRL
6866,AFCRL
6867,BRL
6868,NRL
6869,UMI
6874,AFCRL
6876,AFCRL
6877,AFCRL
6879,NSA
6884,AFCRL
6885,ICST
6885,UCL
6887,AFCRL
6887,UMD
6891,AFCRL
6892,AFCRL
6894,AFCRL
6895,AFCRL
6897,AFCRL
6898,AFCRL
6899,AFCRL
6900,AFCRL
6901,AFCRL
6903,NYU
6905,AFCRL
6906,AFCRL
6907,AFCRL
6908,AFCRL
6909,QUB
6910,LARC
6911,LARC
6912,AFCRL
6914,NSA
6915,AFCRL
6920,GSFC
