STAGE_NAME,STAGE_FAMILY,STAGE_ALT_NAME,LENGTH,DIAMETER,LAUNCH_MASS,DRY_MASS,THRUST,DURATION,ENGINE_ID,ENGINE_COUNT
C-130,Air,,0,0,0,0,0,0,,0
C-17,Air,,0,0,0,0,0,0,,0
C-3 Stage 1,Poseidon,,4.8,1.88,10,,,,221,1
C-3 Stage 2,Poseidon.St2,,2.5,1.88,7,,,,222,1
CB-250,CB-250,,1,.25,.3,,,,825,7
CPKM,SD,,2.9,1.4,4.6,496,222.8,65.2,226,1
CSXT,CSXT,,6.4,.25,.3,96,71,13.4,894,1
CUS12,GS3,,8.7,2.8,14.6,2200,73.6,720,366,1
CUS15,GS3,,8.7,2.8,14.6,2200,73.6,720,366,1
CZ Booster,CZ.LB,LB40-YF25,15.3,2.25,37.7,3200,740.4,128,1238,1
CZ-11-1,DF-31,,8,2,40,5000,,,228,1
CZ-11-2,DF-31,,6,2,15,,,,229,1
CZ-11-3,CZ11-3,,2,1.8,4,,,,230,1
CZ-11-4,CZ11-4,,1.5,1.5,2,,,,231,1
CZ-2 Stage 1,DF5,L140-YF21,20.5,3.35,153,10000,2961,122,1232,4
CZ-2 Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,109,1233,1
CZ-2C Stage 1,DF5,L140-YF21,20.5,3.35,153,10000,2961,122,1232,4
CZ-2C Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,109,1233,1
CZ-2Cj Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,109,1233,1
CZ-2E Stage 1,DF5,L180-YF21B,23.7,3.35,196.5,9500,2961,166,1232,4
CZ-2E Stage 2,CZ.St2,L90-YF24B,15.5,3.35,91.5,5500,742,295,1233,1
CZ-3 Stage 1,DF5,L140-YF21,20.2,3.35,151,9000,2785,132,1232,4
CZ-3 Stage 2,CZ.St2,LF35-YF24,9.7,3.35,39,4000,720,180,1233,1
CZ-3 Stage 3,CZ3.St3,H8-YF73,7.5,2.25,10.5,2000,44.1,800,1245,1
CZ-3A Stage 1,DF5,L180-YF21B,23.3,3.35,180,9500,2961,145,1232,4
CZ-3A Stage 2,CZ.St2,L35-YF24B,9.9,3.35,33.6,4000,742,180,1233,1
CZ-3A Stage 3,CZ3.St3,H18-YF75,12.4,3,21,2800,157,470,1246,2
CZ-3B Stage 2,CZ.St2,L35-YF24B,9.9,3.35,44,4000,742,180,1233,1
CZ-3BE Booster,CZ.LB,LB41-YF25,16.1,2.25,41,3200,740.4,128,1238,1
CZ-3BE Stage 1,DF5,L180-YF21B,24.8,3.35,186.2,9500,2961,145,1232,4
CZ-4 Stage 1,DF5,L180-YF21B,24.7,3.35,192.7,9500,2961,170,1232,4
