LV_ID,LV_NAME,LV_VARIANT,LV_CLASS,LV_FAMILY_CODE,LV_ALIAS,MIN_STAGE,MAX_STAGE,LENGTH,DIAMETER,LAUNCH_MASS,LEO_CAPACITY,GTO_CAPACITY,TAKEOFF_THRUST,APOGEE,RANGE
177,Atlas SLV-3 Agena D,,orbital launch vehicle,Atlas,,0,2,32.1,3.05,140,,850,1629,400000,
178,Atlas SLV-3A Agena D,,orbital launch vehicle,Atlas,,0,2,36,3.05,155,,1000,1700,150000,
179,Atlas SLV-3C Centaur,,orbital launch vehicle,Atlas,,0,2,40.2,3.05,148.4,,1800,1700,400000,
180,Atlas SLV-3D Centaur,,orbital launch vehicle,Atlas,,0,2,40.3,3.05,149,,1900,1741,400000,
181,Atlas V 401,C,orbital launch vehicle,Atlas5,,1,2,58.3,3.8,334.5,,4750,3800,40000,
182,Atlas V 401,,orbital launch vehicle,Atlas5,,1,2,58.3,3.8,334.5,,4750,3800,40000,
183,Atlas V 411,C,orbital launch vehicle,Atlas5,,0,2,58.3,3.8,386.8,,5950,,40000,
184,Atlas V 411,,orbital launch vehicle,Atlas5,,0,2,58.3,3.8,386.8,,5950,,40000,
185,Atlas V 421,C,orbital launch vehicle,Atlas5,,0,2,58.3,3.8,433.8,,6890,,40000,
186,Atlas V 421,,orbital launch vehicle,Atlas5,,0,2,58.3,3.8,433.8,,6890,,40000,
187,Atlas V 431,C,orbital launch vehicle,Atlas5,,0,2,59.1,3.8,479.7,,7700,,40000,
188,Atlas V 431,,orbital launch vehicle,Atlas5,,0,2,59.1,3.8,479.7,,7700,,40000,
189,Atlas V 501,C,orbital launch vehicle,Atlas5,,1,2,58.3,3.8,334.5,,3775,,40000,
190,Atlas V 501,,orbital launch vehicle,Atlas5,,1,2,58.3,3.8,334.5,,3775,,40000,
191,Atlas V 521,,orbital launch vehicle,Atlas5,,0,2,59.7,3.8,433.5,14000,6475,6520,40000,
192,Atlas V 531,,orbital launch vehicle,Atlas5,,0,2,60,3.8,479.7,,7700,,40000,
193,Atlas V 541,C,orbital launch vehicle,Atlas5,,0,2,60,3.8,479.7,,7700,,40000,
194,Atlas V 541,,orbital launch vehicle,Atlas5,,0,2,60,3.8,479.7,,7700,,40000,
195,Atlas V 551,C,orbital launch vehicle,Atlas5,,0,2,59.7,3.8,573.2,,8900,,40000,
196,Atlas V 551,,orbital launch vehicle,Atlas5,,0,2,59.7,3.8,573.2,,8900,,40000,
197,Aurore,,endoatmospheric weather rocket <80 km,Aurore,,1,1,3.3,.13,.04,0,0,8,60,
198,B-611,,tactical ballistic missile,DF-11,,1,1,13.3,.88,8,0,0,90,150,600
199,BLDT,,cruise missile,BLDT,,1,1,0,0,0,0,0,,10,
200,BT-310,,research rocket,S-310,,1,1,6,.31,.7,0,0,,5,
201,Badr-1,,missile,Grad,,1,1,5,.6,2,0,0,,20,
202,Belenos,,research rocket,Belenos,,1,2,4.9,.21,.1,0,0,,116,
203,Belier,,research rocket,Belier,,1,1,3.8,.31,.4,0,0,,109,
